"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"ARHGAP29","203910_at","ARHGAP29",0.0473117010584962,-2.05768730945135,-0.17324908129044,3.10302724621212,0.0872840405987123,33,0.300508062678923
"UBE3B","212403_at","UBE3B",0.0473350287433547,-2.05745761536144,-0.0896745624632347,3.32256523515152,0.0451836853305216,33,0.300508062678923
"ST6GAL1","201998_at","ST6GAL1",0.0473647098650741,2.05716550632959,0.271841227180146,3.134058676,0.13699015904535,33,0.300508062678923
"PFKFB2","209992_at","PFKFB2",0.0473666026485124,-2.05714688380844,-0.20297865139706,2.55839395393939,0.102288860830059,33,0.300508062678923
"IFI44L","204439_at","IFI44L",0.0473676103585833,-2.05713696952175,-0.314810612389705,3.05047533666667,0.158646113230582,33,0.300508062678923
"NUDT16","235002_at","NUDT16",0.0473983378667785,2.05683474791135,0.0634185988235294,2.17733717527273,0.0319639559360258,33,0.300611687320884
"TRIM2","243945_at","TRIM2",0.0474256765722648,2.05656600157529,0.0892803280404419,2.22245869157576,0.0450045482687429,33,0.30069376296653
"NR3C1","216321_s_at","NR3C1",0.0474425200691386,-2.05640049347904,-0.159315370463236,3.48183702039394,0.0803143705173805,33,0.300709266052795
"TMEM203","225052_at","TMEM203",0.0474608383400098,-2.05622055246264,-0.0743870800404411,3.56660154969697,0.0375034393075817,33,0.300734104590748
"OGDHL","219277_s_at","OGDHL",0.0475137306954131,-2.0557013309763,-0.323751377580882,2.60720262818182,0.163265675463718,33,0.300977939209494
"BBS12","229603_at","BBS12",0.0475366000547369,-2.0554769894297,-0.124072859084559,2.62516258509091,0.0625759500850745,33,0.301031501559485
"CHST10","204065_at","CHST10",0.0475651961182914,2.05519660389695,0.156479617915442,2.83789762869697,0.078931014504642,33,0.301103411794505
"TAPBP","1555565_s_at","TAPBP",0.0475767899890767,-2.05508296769205,-0.127954889628676,2.70446512642424,0.0645462191408196,33,0.301103411794505
"MRPL20-AS1","225920_at","MRPL20-AS1",0.0476051964960279,-2.05480464676275,-0.0981125804595582,2.72609266733333,0.0494991157208194,33,0.301191920272506
"RPRML","1554655_a_at","RPRML",0.0476488449904975,-2.05437727203047,-0.0727535147279412,2.1473347920303,0.0367127619841779,33,0.301315743948789
